school_name,Enrolled_19_20
Achieve Academy,650
Alternatives in Action,171
American Indian Public Charter,233
American Indian Public Charter School II,650
American Indian Public High,419
Arise High,369
ASCEND,494
Aspire Berkley Maynard Academy,577
Aspire College Academy,293
Aspire ERES Academy,243
Aspire Golden State College Prep,611
Aspire Lionel Wilson College Preparatory Academy,524
Aspire Monarch Academy,417
Aspire Triumph Technology Academy,293
Aurum Preparatory Academy,112
Bay Area Technology,289
Corpsmember (Civicorps),51
COVA High,86
CSCE,267
Downtown Charter Academy,326
East Bay Innovation Academy,620
EFC - Cox Academy,587
Envision Academy for Arts & Technology,412
Epic Charter,246
Francophone Charter,289
KIPP Bridge Charter,540
Latitude 37.8 High,103
Lazear Charter Academy,484
Learning Without Limits,422
Lighthouse,507
Lighthouse High,289
Lodestar Lighthouse,608
LPS R&D Campus,498
North Oakland Community Charter,187
Oakland Charter Academy,238
Oakland Charter High,461
"Oakland Military Institute, College Prep",661
Oakland School For The Arts,793
Oakland Unity High,355
Oakland Unity Middle,170
Opportunity Academy,125
Roses in Concrete,224
Urban Montessori Charter,393
Vincent Academy,217
Yu Ming Charter,487
ACORN Woodland,281
Allendale,400
Bella Vista,468
Bret Harte,674
Bridges Academy,435
Brookfield,216
Burckhalter,222
Carl Munck,232
Castlemont HS,819
Chabot,572
Claremont,500
Cleveland,397
Coliseum College Prep Academy,552
Community Day HS,23
Community United,321
Crocker Highlands,458
Dewey Academy,207
East Oakland PRIDE Elementary,346
Edna Brewer,810
Elmhurst Community Prep,716
Emerson,323
EnCompass Academy,343
Esperanza,367
Franklin,639
Fred T. Korematsu,245
Fremont HS,841
Frick,246
Fruitvale,324
Futures Academy,337
Garfield,645
Gateway To College at Laney College,77
Glenview,461
Global Family School,448
Grass Valley,254
Greenleaf,636
Henry J. Kaiser,265
Hillcrest,400
Hoover,282
Horace Mann,272
Howard,177
International Community School,282
Joaquin Miller,436
La Escuelita,389
Laurel,481
Life Academy,443
Lincoln,732
Madison Park - Lower,270
Madison Park - Upper,725
Manzanita,378
Manzanita SEED,419
Markham,323
Martin Luther King Jr,386
McClymonds HS,359
Melrose Leadership Academy,588
MetWest,205
Montclair,625
Montera,673
New Highland Academy,348
Oakland HS,"1,657"
Oakland International High School,391
Oakland Technical HS,"1,960"
OUSD NPS School,127
Parker,268
PEC Home and Hospital,12
PEC Young Adult Program,150
Peralta,325
Piedmont Avenue,341
PLACE at Prescott,121
Ralph Bunche High,109
REACH Academy,406
Redwood Heights,360
RISE Community School,227
Roosevelt,595
Rudsdale Continuation,270
Sankofa Academy,132
Sequoia,442
Skyline HS,"1,577"
Sojourner Truth Independent Study,176
SOL,163
Street Academy,97
Think College Now,294
Thornhill,401
United For Success,375
Urban Promise Academy,375
West Oakland Middle School,198
Westlake,312
