Common Question Text (group),Common Question ID,Year ID,RowHeaderID,Network or School,Group By,Color Coding,Color Coding (group),Response Text,% of Total Count of Respondents,Count of Respondents,Show N's,% of Total Distinct count of Respondent ID
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Castlemont High School,All Students,661A,661A,0 times,47.619047619%,20,20,47.619047619%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Castlemont High School,All Students,650B,650B,1–2 times,9.523809524%,4,4,9.523809524%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Castlemont High School,All Students,640C,640C,A few times,28.571428571%,12,12,28.571428571%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Castlemont High School,All Students,630D,630D,Once a month,2.380952381%,1,1,2.380952381%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Castlemont High School,All Students,620E,620E,Once a week,2.380952381%,1,1,2.380952381%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Castlemont High School,All Students,610F,610F,More than once a week,7.142857143%,3,3,7.142857143%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Castlemont High School,All Students,,,Did not answer,2.380952381%,1,1,2.380952381%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Coliseum College Prep Academy,All Students,661A,661A,0 times,70.917225951%,317,317,70.917225951%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Coliseum College Prep Academy,All Students,650B,650B,1–2 times,12.304250559%,55,55,12.304250559%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Coliseum College Prep Academy,All Students,640C,640C,A few times,10.514541387%,47,47,10.514541387%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Coliseum College Prep Academy,All Students,630D,630D,Once a month,0.447427293%,2,2,0.447427293%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Coliseum College Prep Academy,All Students,620E,620E,Once a week,1.342281879%,6,6,1.342281879%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Coliseum College Prep Academy,All Students,610F,610F,More than once a week,1.565995526%,7,7,1.565995526%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Coliseum College Prep Academy,All Students,,,Did not answer,2.908277405%,13,13,2.908277405%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Community Day,All Students,661A,661A,0 times,37.5%,9,9,37.5%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Community Day,All Students,650B,650B,1–2 times,8.333333333%,2,2,8.333333333%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Community Day,All Students,640C,640C,A few times,16.666666667%,4,4,16.666666667%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Community Day,All Students,630D,630D,Once a month,4.166666667%,1,1,4.166666667%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Community Day,All Students,620E,620E,Once a week,4.166666667%,1,1,4.166666667%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Community Day,All Students,610F,610F,More than once a week,29.166666667%,7,7,29.166666667%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Dewey Academy,All Students,661A,661A,0 times,35.135135135%,65,65,35.135135135%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Dewey Academy,All Students,650B,650B,1–2 times,15.675675676%,29,29,15.675675676%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Dewey Academy,All Students,640C,640C,A few times,18.918918919%,35,35,18.918918919%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Dewey Academy,All Students,630D,630D,Once a month,1.621621622%,3,3,1.621621622%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Dewey Academy,All Students,620E,620E,Once a week,3.783783784%,7,7,3.783783784%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Dewey Academy,All Students,610F,610F,More than once a week,21.621621622%,40,40,21.621621622%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Dewey Academy,All Students,,,Did not answer,3.243243243%,6,6,3.243243243%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Fremont High School,All Students,661A,661A,0 times,42.516268980%,196,196,42.516268980%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Fremont High School,All Students,650B,650B,1–2 times,20.390455531%,94,94,20.390455531%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Fremont High School,All Students,640C,640C,A few times,20.390455531%,94,94,20.390455531%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Fremont High School,All Students,630D,630D,Once a month,3.904555315%,18,18,3.904555315%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Fremont High School,All Students,620E,620E,Once a week,3.904555315%,18,18,3.904555315%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Fremont High School,All Students,610F,610F,More than once a week,5.856832972%,27,27,5.856832972%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Fremont High School,All Students,,,Did not answer,3.036876356%,14,14,3.036876356%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Gateway to College,All Students,661A,661A,0 times,71.428571429%,15,15,71.428571429%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Gateway to College,All Students,650B,650B,1–2 times,4.761904762%,1,1,4.761904762%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Gateway to College,All Students,640C,640C,A few times,9.523809524%,2,2,9.523809524%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Gateway to College,All Students,610F,610F,More than once a week,4.761904762%,1,1,4.761904762%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Gateway to College,All Students,,,Did not answer,9.523809524%,2,2,9.523809524%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Life Academy,All Students,661A,661A,0 times,80.053191489%,301,301,80.053191489%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Life Academy,All Students,650B,650B,1–2 times,9.308510638%,35,35,9.308510638%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Life Academy,All Students,640C,640C,A few times,4.787234043%,18,18,4.787234043%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Life Academy,All Students,630D,630D,Once a month,1.063829787%,4,4,1.063829787%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Life Academy,All Students,620E,620E,Once a week,0.265957447%,1,1,0.265957447%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Life Academy,All Students,610F,610F,More than once a week,3.191489362%,12,12,3.191489362%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Life Academy,All Students,,,Did not answer,1.329787234%,5,5,1.329787234%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Madison Park Academy 6-12,All Students,661A,661A,0 times,72.146118721%,316,316,72.146118721%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Madison Park Academy 6-12,All Students,650B,650B,1–2 times,9.817351598%,43,43,9.817351598%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Madison Park Academy 6-12,All Students,640C,640C,A few times,9.132420091%,40,40,9.132420091%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Madison Park Academy 6-12,All Students,630D,630D,Once a month,0.228310502%,1,1,0.228310502%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Madison Park Academy 6-12,All Students,620E,620E,Once a week,1.369863014%,6,6,1.369863014%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Madison Park Academy 6-12,All Students,610F,610F,More than once a week,1.369863014%,6,6,1.369863014%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Madison Park Academy 6-12,All Students,,,Did not answer,5.936073059%,26,26,5.936073059%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,McClymonds HS,All Students,661A,661A,0 times,56.666666667%,119,119,56.666666667%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,McClymonds HS,All Students,650B,650B,1–2 times,13.809523810%,29,29,13.809523810%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,McClymonds HS,All Students,640C,640C,A few times,16.666666667%,35,35,16.666666667%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,McClymonds HS,All Students,630D,630D,Once a month,1.904761905%,4,4,1.904761905%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,McClymonds HS,All Students,620E,620E,Once a week,2.857142857%,6,6,2.857142857%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,McClymonds HS,All Students,610F,610F,More than once a week,3.809523810%,8,8,3.809523810%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,McClymonds HS,All Students,,,Did not answer,4.285714286%,9,9,4.285714286%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,MetWest High School,All Students,661A,661A,0 times,56.028368794%,79,79,56.028368794%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,MetWest High School,All Students,650B,650B,1–2 times,10.638297872%,15,15,10.638297872%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,MetWest High School,All Students,640C,640C,A few times,20.567375887%,29,29,20.567375887%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,MetWest High School,All Students,630D,630D,Once a month,2.127659574%,3,3,2.127659574%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,MetWest High School,All Students,620E,620E,Once a week,3.546099291%,5,5,3.546099291%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,MetWest High School,All Students,610F,610F,More than once a week,4.964539007%,7,7,4.964539007%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,MetWest High School,All Students,,,Did not answer,2.127659574%,3,3,2.127659574%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland High School,All Students,661A,661A,0 times,51.777970512%,597,597,51.777970512%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland High School,All Students,650B,650B,1–2 times,17.085862966%,197,197,17.085862966%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland High School,All Students,640C,640C,A few times,17.866435386%,206,206,17.866435386%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland High School,All Students,630D,630D,Once a month,2.428447528%,28,28,2.428447528%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland High School,All Students,620E,620E,Once a week,2.341717259%,27,27,2.341717259%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland High School,All Students,610F,610F,More than once a week,5.984388552%,69,69,5.984388552%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland High School,All Students,,,Did not answer,2.515177797%,29,29,2.515177797%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland International HS,All Students,661A,661A,0 times,36.585365854%,60,60,36.585365854%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland International HS,All Students,650B,650B,1–2 times,18.902439024%,31,31,18.902439024%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland International HS,All Students,640C,640C,A few times,26.219512195%,43,43,26.219512195%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland International HS,All Students,630D,630D,Once a month,4.878048780%,8,8,4.878048780%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland International HS,All Students,620E,620E,Once a week,2.439024390%,4,4,2.439024390%
