LATY DD offset,LONGX DD offset,sitename CDE,Demand,sitename CDE,Year
37.8142,-122.26,Westlake Middle,52.6%,Westlake Middle,2019-20
37.809,-122.283,West Oakland Middle,75.9%,West Oakland Middle,2019-20
37.7821,-122.224,Urban Promise Academy,124.6%,Urban Promise Academy,2019-20
37.7844,-122.219,United for Success Academy,62.6%,United for Success Academy,2019-20
37.8362,-122.212,Thornhill Elementary,119.6%,Thornhill Elementary,2019-20
37.7804,-122.232,Think College Now,65.9%,Think College Now,2019-20
37.8178,-122.265,Street Academy (Alternative),42.1%,Street Academy (Alternative),2019-20
37.7982,-122.164,Skyline High,61.8%,Skyline High,2019-20
37.8021,-122.211,Sequoia Elementary,164.4%,Sequoia Elementary,2019-20
37.8471,-122.264,Sankofa United,,Sankofa United,2019-20
,,Sankofa Academy,18.8%,Sankofa Academy,2019-20
,,Roots International Academy,,Roots International Academy,2019-20
37.7909,-122.238,Roosevelt Middle,54.9%,Roosevelt Middle,2019-20
37.7525,-122.178,Rise Community,35.2%,Rise Community,2019-20
37.7969,-122.187,Redwood Heights Elementary,172.3%,Redwood Heights Elementary,2019-20
37.7467,-122.162,Reach Academy,59.6%,Reach Academy,2019-20
37.8083,-122.298,Prescott,15.8%,Prescott,2019-20
37.8292,-122.249,Piedmont Avenue Elementary,36.7%,Piedmont Avenue Elementary,2019-20
37.8491,-122.258,Peralta Elementary,146.8%,Peralta Elementary,2019-20
37.7656,-122.166,Parker Elementary,16.2%,Parker Elementary,2019-20
37.8318,-122.254,Oakland Technical High,230.3%,Oakland Technical High,2019-20
,,Oakland School of Language,37.0%,Oakland School of Language,2019-20
37.8335,-122.261,Oakland International High,27.8%,Oakland International High,2019-20
37.805,-122.236,Oakland High,83.7%,Oakland High,2019-20
37.7534,-122.18,New Highland Academy,65.4%,New Highland Academy,2019-20
37.8197,-122.202,Montera Middle,98.6%,Montera Middle,2019-20
37.8315,-122.213,Montclair Elementary,146.2%,Montclair Elementary,2019-20
37.7969,-122.256,MetWest High,196.4%,MetWest High,2019-20
37.7804,-122.198,Melrose Leadership Academy,168.5%,Melrose Leadership Academy,2019-20
37.8179,-122.279,McClymonds High,45.2%,McClymonds High,2019-20
37.8058,-122.283,"Martin Luther King, Jr. Elementary",31.7%,"Martin Luther King, Jr. Elementary",2019-20
37.7653,-122.179,Markham Elementary,35.7%,Markham Elementary,2019-20
37.7922,-122.223,Manzanita SEED Elementary,69.4%,Manzanita SEED Elementary,2019-20
37.793,-122.225,Manzanita Community,33.8%,Manzanita Community,2019-20
37.7279,-122.177,Madison Park Academy TK-5,28.3%,Madison Park Academy TK-5,2019-20
37.7263,-122.178,Madison Park Academy 6-12,88.1%,Madison Park Academy 6-12,2019-20
37.8002,-122.267,Lincoln Elementary,139.1%,Lincoln Elementary,2019-20
37.786,-122.218,LIFE Academy,191.7%,LIFE Academy,2019-20
37.7929,-122.197,Laurel Elementary,37.1%,Laurel Elementary,2019-20
37.7958,-122.258,La Escuelita Elementary,68.8%,La Escuelita Elementary,2019-20
,,Kaiser Elementary,61.7%,Kaiser Elementary,2019-20
37.818,-122.203,Joaquin Miller Elementary,112.3%,Joaquin Miller Elementary,2019-20
37.7796,-122.23,International Community,105.7%,International Community,2019-20
37.7659,-122.155,"Independent Study, Sojourner Truth",,"Independent Study, Sojourner Truth",2019-20
37.7616,-122.151,Howard Elementary,19.2%,Howard Elementary,2019-20
37.7736,-122.203,Horace Mann Elementary,19.1%,Horace Mann Elementary,2019-20
37.8232,-122.275,Hoover Elementary,47.4%,Hoover Elementary,2019-20
37.8404,-122.233,Hillcrest Elementary,167.7%,Hillcrest Elementary,2019-20
37.7644,-122.195,Greenleaf Elementary,72.2%,Greenleaf Elementary,2019-20
37.7531,-122.125,Grass Valley Elementary,37.5%,Grass Valley Elementary,2019-20
37.7787,-122.211,Global Family,60.8%,Global Family,2019-20
37.8053,-122.219,Glenview Elementary,108.1%,Glenview Elementary,2019-20
37.7868,-122.236,Garfield Elementary,26.5%,Garfield Elementary,2019-20
37.7597,-122.195,Futures Elementary,29.4%,Futures Elementary,2019-20
37.7963,-122.214,Fruitvale Elementary,24.5%,Fruitvale Elementary,2019-20
37.771,-122.184,Frick United Academy of Language,,Frick United Academy of Language,2019-20
,,Frick Middle,42.9%,Frick Middle,2019-20
37.7736,-122.209,Fremont High,50.4%,Fremont High,2019-20
37.7382,-122.175,Fred T. Korematsu Discovery Academy,20.0%,Fred T. Korematsu Discovery Academy,2019-20
37.7939,-122.249,Franklin Elementary,44.1%,Franklin Elementary,2019-20
37.7374,-122.173,Esperanza Elementary,75.3%,Esperanza Elementary,2019-20
37.7523,-122.184,EnCompass Academy Elementary,28.0%,EnCompass Academy Elementary,2019-20
37.8346,-122.257,Emerson Elementary,43.2%,Emerson Elementary,2019-20
37.7474,-122.167,Elmhurst United Middle,91.6%,Elmhurst United Middle,2019-20
,,Elmhurst Community Prep,,Elmhurst Community Prep,2019-20
37.8037,-122.23,Edna Brewer Middle,273.8%,Edna Brewer Middle,2019-20
37.7591,-122.174,East Oakland Pride Elementary,31.1%,East Oakland Pride Elementary,2019-20
37.8111,-122.227,Crocker Highlands Elementary,171.6%,Crocker Highlands Elementary,2019-20
37.7605,-122.192,Community United Elementary,53.8%,Community United Elementary,2019-20
37.7614,-122.194,Coliseum College Prep Academy,157.0%,Coliseum College Prep Academy,2019-20
37.8043,-122.244,Cleveland Elementary,109.7%,Cleveland Elementary,2019-20
37.8457,-122.252,Claremont Middle,140.6%,Claremont Middle,2019-20
37.8507,-122.242,Chabot Elementary,205.4%,Chabot Elementary,2019-20
37.7599,-122.164,Castlemont High,39.7%,Castlemont High,2019-20
37.7946,-122.174,Carl B. Munck Elementary,46.2%,Carl B. Munck Elementary,2019-20
37.7756,-122.167,Burckhalter Elementary,47.1%,Burckhalter Elementary,2019-20
37.7348,-122.189,Brookfield Elementary,36.8%,Brookfield Elementary,2019-20
37.7674,-122.207,Bridges Academy,43.5%,Bridges Academy,2019-20
37.8001,-122.207,Bret Harte Middle,44.2%,Bret Harte Middle,2019-20
37.8005,-122.237,Bella Vista Elementary,37.6%,Bella Vista Elementary,2019-20
,,Alliance Academy,,Alliance Academy,2019-20
37.7886,-122.205,Allendale Elementary,38.9%,Allendale Elementary,2019-20
37.7532,-122.186,ACORN Woodland Elementary,98.0%,ACORN Woodland Elementary,2019-20
